id;start_time;finish_time;duration;host
req-1-255596094_0;0.0008;0.1008;0.1;bus_stop_0
req-1-255596018_0;0.0008;0.1008;0.1;bus_stop_0
req-1-255596112_0;0.0009;0.1009;0.1;bus_stop_0
req-2-2569086797_0;0.0012;0.1012;0.1;bus_stop_0
req-2-11383367761_0;0.0013;0.1013;0.1;bus_stop_1
req-4-11378562276_0;0.0027;0.1027;0.1;bus_stop_1
req-4-10915667347_0;0.0031;0.1031;0.1;bus_stop_1
req-6-10915667367_0;0.0043;0.1043;0.1;bus_stop_1
req-9-12146767_0;0.0059;0.1059;0.1;bus_stop_10
req-9-1371510128_0;0.0059;0.1059;0.1;bus_stop_10
req-9-12146760_0;0.0061;0.1061;0.1;bus_stop_10
req-9-1371510111_0;0.0061;0.1061;0.1;bus_stop_10
req-12-1480037114_0;0.0089;0.1089;0.1;bus_stop_11
req-13-1480037117_0;0.0101;0.1101;0.1;bus_stop_11
req-15-1480037117_0;0.0118;0.1118;0.1;bus_stop_11
req-16-255190814_0;0.0119;0.1119;0.1;bus_stop_11
req-17-255191060_0;0.0122;0.1122;0.1;bus_stop_12
req-17-2569087094_0;0.0123;0.1123;0.1;bus_stop_12
req-17-1451034444_0;0.0124;0.1124;0.1;bus_stop_12
req-22-255596162_0;0.0162;0.1162;0.1;bus_stop_12
req-1-255596028_0;0.0209;0.1209;0.1;bus_stop_13
req-1-255191075_0;0.0211;0.1211;0.1;bus_stop_13
req-1-2569086736_0;0.0212;0.1212;0.1;bus_stop_13
req-27-2569086736_0;0.0213;0.1213;0.1;bus_stop_13
req-2-11383382298_0;0.0215;0.1215;0.1;bus_stop_14
req-4-10915667342_0;0.0231;0.1231;0.1;bus_stop_14
req-34-255191472_0;0.0251;0.1251;0.1;bus_stop_14
req-34-255191437_0;0.0251;0.1251;0.1;bus_stop_14
req-8-12146777_0;0.0252;0.1252;0.1;bus_stop_15
req-8-1432574918_0;0.0254;0.1254;0.1;bus_stop_15
req-8-1371509882_0;0.0257;0.1257;0.1;bus_stop_15
req-8-1371510260_0;0.0258;0.1258;0.1;bus_stop_15
req-8-1371510304_0;0.0259;0.1259;0.1;bus_stop_16
req-9-1371510173_0;0.026;0.126;0.1;bus_stop_16
req-9-1371509865_0;0.0261;0.1261;0.1;bus_stop_16
req-16-1480037096_0;0.0319;0.1319;0.1;bus_stop_16
req-18-1371510173_0;0.0328;0.1328;0.1;bus_stop_2
req-18-1371509865_0;0.0331;0.1331;0.1;bus_stop_2
req-44-9983238121_0;0.0333;0.1333;0.1;bus_stop_2
req-18-1432574901_0;0.0335;0.1335;0.1;bus_stop_2
req-18-1432574919_0;0.0336;0.1336;0.1;bus_stop_3
req-18-1371509882_0;0.0337;0.1337;0.1;bus_stop_3
req-20-1371509865_0;0.0349;0.1349;0.1;bus_stop_3
req-20-1371510173_0;0.0352;0.1352;0.1;bus_stop_3
req-22-2569086797_0;0.0364;0.1364;0.1;bus_stop_4
req-22-255596109_0;0.0367;0.1367;0.1;bus_stop_4
req-22-255596112_0;0.0369;0.1369;0.1;bus_stop_4
req-22-2570830451_0;0.037;0.137;0.1;bus_stop_4
req-52-1371510515_0;0.039;0.139;0.1;bus_stop_5
req-52-1371509882_0;0.039;0.139;0.1;bus_stop_5
req-52-1371510304_0;0.0392;0.1392;0.1;bus_stop_5
req-52-1371510260_0;0.0392;0.1392;0.1;bus_stop_5
req-53-255595238_0;0.0394;0.1394;0.1;bus_stop_6
req-53-255595328_0;0.0394;0.1394;0.1;bus_stop_6
req-53-255190815_0;0.0395;0.1395;0.1;bus_stop_6
req-53-1480037106_0;0.0395;0.1395;0.1;bus_stop_6
req-27-255596112_0;0.0407;0.1407;0.1;bus_stop_7
req-27-255596094_0;0.0408;0.1408;0.1;bus_stop_7
req-27-255596018_0;0.0411;0.1411;0.1;bus_stop_7
req-58-1432574912_0;0.043;0.143;0.1;bus_stop_7
req-31-255190815_0;0.0434;0.1434;0.1;bus_stop_8
req-31-1480037098_0;0.0436;0.1436;0.1;bus_stop_8
req-31-255190828_0;0.044;0.144;0.1;bus_stop_8
req-60-2569108697_0;0.0444;0.1444;0.1;bus_stop_8
req-61-255596055_0;0.0452;0.1452;0.1;bus_stop_9
req-62-255596028_0;0.0457;0.1457;0.1;bus_stop_9
req-62-255191075_0;0.0457;0.1457;0.1;bus_stop_9
req-62-12146784_0;0.0458;0.1458;0.1;bus_stop_9
req-5-8255515226_0;0.1009;0.2009;0.1;bus_stop_0
req-3-8255515226_0;0.1009;0.2009;0.1;bus_stop_0
req-2-2570830459_0;0.1009;0.2009;0.1;bus_stop_0
req-6-255596017_0;0.1013;0.2013;0.1;bus_stop_0
req-8-1432574946_0;0.1013;0.2013;0.1;bus_stop_1
req-3-1432574869_0;0.1028;0.2028;0.1;bus_stop_1
req-3-1432574929_0;0.1032;0.2032;0.1;bus_stop_1
req-3-1432574984_0;0.1044;0.2044;0.1;bus_stop_1
req-5-1432574912_0;0.106;0.206;0.1;bus_stop_10
req-3-1432574912_0;0.106;0.206;0.1;bus_stop_10
req-5-1432574869_0;0.1062;0.2062;0.1;bus_stop_10
req-5-1432574929_0;0.1062;0.2062;0.1;bus_stop_10
req-5-1432574984_0;0.1089;0.2089;0.1;bus_stop_11
req-6-2569086944_0;0.1101;0.2101;0.1;bus_stop_11
req-7-1432574912_0;0.1119;0.2119;0.1;bus_stop_11
req-6-2923178604_0;0.1119;0.2119;0.1;bus_stop_11
req-7-1432574869_0;0.1123;0.2123;0.1;bus_stop_12
req-7-1432574929_0;0.1123;0.2123;0.1;bus_stop_12
req-7-1432574984_0;0.1125;0.2125;0.1;bus_stop_12
req-8-1432574941_0;0.1163;0.2163;0.1;bus_stop_12
req-0-255190984_0;0.121;0.221;0.1;bus_stop_13
req-0-1469068918_0;0.1212;0.2212;0.1;bus_stop_13
req-0-2569086820_0;0.1212;0.2212;0.1;bus_stop_13
req-0-9143229517_0;0.1214;0.2214;0.1;bus_stop_13
req-9-1432574919_0;0.1218;0.2218;0.1;bus_stop_14
req-4-2569086678_0;0.1231;0.2231;0.1;bus_stop_14
req-4-2569086780_0;0.1251;0.2251;0.1;bus_stop_14
req-4-255595787_0;0.1251;0.2251;0.1;bus_stop_14
req-4-255595784_0;0.1252;0.2252;0.1;bus_stop_15
req-4-255595844_0;0.1255;0.2255;0.1;bus_stop_15
req-6-255595921_0;0.1258;0.2258;0.1;bus_stop_15
req-6-12146782_0;0.1258;0.2258;0.1;bus_stop_15
req-6-1432574832_0;0.126;0.226;0.1;bus_stop_16
req-9-1432574901_0;0.1263;0.2263;0.1;bus_stop_16
req-9-1371509882_0;0.1265;0.2265;0.1;bus_stop_16
req-10-1371510260_0;0.1321;0.2321;0.1;bus_stop_16
req-10-1371509882_0;0.1329;0.2329;0.1;bus_stop_2
req-10-1371510304_0;0.1332;0.2332;0.1;bus_stop_2
req-10-1432574918_0;0.1334;0.2334;0.1;bus_stop_2
req-10-1371510515_0;0.1336;0.2336;0.1;bus_stop_2
req-10-9983238121_0;0.1336;0.2336;0.1;bus_stop_3
req-11-1469058565_0;0.1338;0.2338;0.1;bus_stop_3
req-11-12146784_0;0.135;0.235;0.1;bus_stop_3
req-11-255595844_0;0.1353;0.2353;0.1;bus_stop_3
req-11-255595921_0;0.1365;0.2365;0.1;bus_stop_4
req-11-10915667342_0;0.1368;0.2368;0.1;bus_stop_4
req-11-10915667367_0;0.137;0.237;0.1;bus_stop_4
req-11-255596808_0;0.137;0.237;0.1;bus_stop_4
req-11-1432574832_0;0.1391;0.2391;0.1;bus_stop_5
req-11-12146782_0;0.1391;0.2391;0.1;bus_stop_5
req-12-255191448_0;0.1393;0.2393;0.1;bus_stop_5
req-12-255191467_0;0.1393;0.2393;0.1;bus_stop_5
req-12-1451034432_0;0.1395;0.2395;0.1;bus_stop_6
req-12-255200029_0;0.1395;0.2395;0.1;bus_stop_6
req-12-255191472_0;0.1395;0.2395;0.1;bus_stop_6
req-12-255191437_0;0.1395;0.2395;0.1;bus_stop_6
req-12-255191048_0;0.1408;0.2408;0.1;bus_stop_7
req-0-2569086698_0;0.1408;0.2408;0.1;bus_stop_7
req-12-581942559_0;0.1412;0.2412;0.1;bus_stop_7
req-2-255596109_0;0.1431;0.2431;0.1;bus_stop_7
req-2-255596112_0;0.1435;0.2435;0.1;bus_stop_8
req-2-2570830451_0;0.1437;0.2437;0.1;bus_stop_8
req-2-255596094_0;0.1441;0.2441;0.1;bus_stop_8
req-12-255200263_0;0.1445;0.2445;0.1;bus_stop_8
req-13-581942052_0;0.1453;0.2453;0.1;bus_stop_9
req-13-255191448_0;0.1458;0.2458;0.1;bus_stop_9
req-13-1451034425_0;0.1458;0.2458;0.1;bus_stop_9
req-13-581942026_0;0.1458;0.2458;0.1;bus_stop_9
req-1-11383382298_0;0.201;0.301;0.1;bus_stop_0
req-1-11383367766_0;0.201;0.301;0.1;bus_stop_0
req-0-236868307_0;0.201;0.301;0.1;bus_stop_0
req-1-2569086797_1;0.2014;0.3014;0.1;bus_stop_0
req-4-1480037155_0;0.2016;0.3016;0.1;bus_stop_1
req-4-255596055_0;0.2029;0.3029;0.1;bus_stop_1
req-6-255596789_0;0.2034;0.3034;0.1;bus_stop_1
req-6-12146777_0;0.2046;0.3046;0.1;bus_stop_1
req-8-10915667490_0;0.2062;0.3062;0.1;bus_stop_10
req-8-8255515229_0;0.2062;0.3062;0.1;bus_stop_10
req-7-8255515226_0;0.2062;0.3062;0.1;bus_stop_10
req-6-12146784_0;0.2062;0.3062;0.1;bus_stop_10
req-9-1371509982_0;0.2095;0.3095;0.1;bus_stop_11
req-10-1371510111_0;0.2103;0.3103;0.1;bus_stop_11
req-10-1371509982_0;0.2121;0.3121;0.1;bus_stop_11
req-10-12146756_0;0.2121;0.3121;0.1;bus_stop_11
req-13-255191459_0;0.2125;0.3125;0.1;bus_stop_12
req-10-1371510009_0;0.2125;0.3125;0.1;bus_stop_12
req-10-12146760_0;0.2125;0.3125;0.1;bus_stop_12
req-13-1451034444_0;0.2165;0.3165;0.1;bus_stop_12
req-13-10915667312_0;0.2211;0.3211;0.1;bus_stop_13
req-14-2569086736_0;0.2214;0.3214;0.1;bus_stop_13
req-14-255191075_0;0.2214;0.3214;0.1;bus_stop_13
req-14-255596028_0;0.2214;0.3214;0.1;bus_stop_13
req-14-2569086780_0;0.2219;0.3219;0.1;bus_stop_14
req-14-12146784_0;0.2232;0.3232;0.1;bus_stop_14
req-14-10915667342_0;0.2254;0.3254;0.1;bus_stop_15
req-14-255595665_0;0.2254;0.3254;0.1;bus_stop_14
req-14-255595599_0;0.2254;0.3254;0.1;bus_stop_14
req-14-255595828_0;0.2257;0.3257;0.1;bus_stop_15
req-15-581942052_0;0.2259;0.3259;0.1;bus_stop_15
req-14-11378562273_0;0.2259;0.3259;0.1;bus_stop_15
req-15-581942026_0;0.2262;0.3262;0.1;bus_stop_16
req-15-255191448_0;0.2265;0.3265;0.1;bus_stop_16
req-15-1451034425_0;0.2265;0.3265;0.1;bus_stop_16
req-15-255191459_0;0.2323;0.3323;0.1;bus_stop_16
req-15-1451034444_0;0.233;0.333;0.1;bus_stop_2
req-15-10915667312_0;0.2333;0.3333;0.1;bus_stop_2
req-16-2923311197_0;0.2336;0.3336;0.1;bus_stop_3
req-16-255190788_0;0.2336;0.3336;0.1;bus_stop_2
req-16-10915667292_0;0.2336;0.3336;0.1;bus_stop_2
req-17-255190984_0;0.2344;0.3344;0.1;bus_stop_3
req-17-255200263_0;0.2351;0.3351;0.1;bus_stop_3
req-17-2569086820_0;0.2355;0.3355;0.1;bus_stop_3
req-17-581942559_0;0.2368;0.3368;0.1;bus_stop_4
req-17-4414627711_0;0.2368;0.3368;0.1;bus_stop_4
req-18-1371510128_0;0.2373;0.3373;0.1;bus_stop_4
req-18-12146767_0;0.2373;0.3373;0.1;bus_stop_4
req-18-1371509982_0;0.2393;0.3393;0.1;bus_stop_5
req-18-12146760_0;0.2393;0.3393;0.1;bus_stop_5
req-18-1371510111_0;0.2393;0.3393;0.1;bus_stop_5
req-19-255595834_0;0.2399;0.3399;0.1;bus_stop_5
req-19-10915667367_0;0.2399;0.3399;0.1;bus_stop_6
req-19-2569086944_0;0.2399;0.3399;0.1;bus_stop_6
req-19-10915667347_0;0.2399;0.3399;0.1;bus_stop_6
req-19-12146782_0;0.2399;0.3399;0.1;bus_stop_6
req-19-255595921_0;0.241;0.341;0.1;bus_stop_7
req-19-255596808_0;0.241;0.341;0.1;bus_stop_7
req-19-1432574832_0;0.2414;0.3414;0.1;bus_stop_7
req-20-12146760_0;0.2434;0.3434;0.1;bus_stop_7
req-20-1371509982_0;0.2437;0.3437;0.1;bus_stop_8
req-20-12146767_0;0.2437;0.3437;0.1;bus_stop_8
req-20-1371510111_0;0.2444;0.3444;0.1;bus_stop_8
req-20-1371510128_0;0.2447;0.3447;0.1;bus_stop_8
req-4-255595599_1;0.2454;0.3454;0.1;bus_stop_9
req-21-255190814_0;0.2464;0.3464;0.1;bus_stop_9
req-21-1480037098_0;0.2464;0.3464;0.1;bus_stop_9
req-21-255190828_0;0.2464;0.3464;0.1;bus_stop_9
req-2-255596112_1;0.3015;0.4015;0.1;bus_stop_0
req-2-255596094_1;0.3015;0.4015;0.1;bus_stop_0
req-4-255595828_1;0.3018;0.4018;0.1;bus_stop_1
req-7-1432574912_1;0.3023;0.4023;0.1;bus_stop_0
req-7-1432574863_1;0.3023;0.4023;0.1;bus_stop_0
req-8-1432574919_1;0.3031;0.4031;0.1;bus_stop_1
req-3-1432574863_1;0.3035;0.4035;0.1;bus_stop_1
req-2-255596109_1;0.3047;0.4047;0.1;bus_stop_1
req-3-1432574912_1;0.3063;0.4063;0.1;bus_stop_10
req-10-1371510128_1;0.3071;0.4071;0.1;bus_stop_10
req-10-12146767_1;0.3072;0.4072;0.1;bus_stop_10
req-11-2569086944_1;0.3074;0.4074;0.1;bus_stop_10
req-13-1480037114_1;0.3102;0.4102;0.1;bus_stop_11
req-21-1480037096_0;0.3107;0.4107;0.1;bus_stop_11
req-21-1480037117_0;0.3123;0.4123;0.1;bus_stop_11
req-21-255191448_0;0.3123;0.4123;0.1;bus_stop_11
req-22-255596027_0;0.3128;0.4128;0.1;bus_stop_12
req-21-1480037132_0;0.3128;0.4128;0.1;bus_stop_12
req-21-12146794_0;0.3128;0.4128;0.1;bus_stop_12
req-22-11383367761_0;0.3166;0.4166;0.1;bus_stop_12
req-0-581942559_1;0.3214;0.4214;0.1;bus_stop_13
req-22-255596055_0;0.3216;0.4216;0.1;bus_stop_13
req-22-2570830459_0;0.3216;0.4216;0.1;bus_stop_13
req-22-11383367766_0;0.3216;0.4216;0.1;bus_stop_13
req-22-11383382298_0;0.3221;0.4221;0.1;bus_stop_14
req-6-255595921_1;0.3233;0.4233;0.1;bus_stop_14
req-9-1371509882_1;0.3255;0.4255;0.1;bus_stop_14
req-6-1432574832_1;0.3255;0.4255;0.1;bus_stop_15
req-23-1371509882_0;0.3257;0.4257;0.1;bus_stop_15
req-23-1432574918_0;0.3257;0.4257;0.1;bus_stop_14
req-4-255595665_1;0.326;0.426;0.1;bus_stop_15
req-23-1371510260_0;0.3262;0.4262;0.1;bus_stop_15
req-23-1371510304_0;0.3262;0.4262;0.1;bus_stop_16
req-9-1371510304_1;0.3266;0.4266;0.1;bus_stop_16
req-9-1371510260_1;0.3266;0.4266;0.1;bus_stop_16
req-8-1371509865_1;0.3325;0.4325;0.1;bus_stop_16
req-9-1432574918_1;0.3332;0.4332;0.1;bus_stop_2
req-10-1371509865_1;0.3334;0.4334;0.1;bus_stop_2
req-10-1371510173_1;0.3337;0.4337;0.1;bus_stop_3
req-23-1371510111_0;0.3346;0.4346;0.1;bus_stop_2
req-23-9983238121_0;0.3346;0.4346;0.1;bus_stop_2
req-23-1371510515_0;0.3346;0.4346;0.1;bus_stop_3
req-23-12146756_0;0.3353;0.4353;0.1;bus_stop_3
req-23-1371509982_0;0.3358;0.4358;0.1;bus_stop_3
req-23-1371510009_0;0.3371;0.4371;0.1;bus_stop_4
req-23-12146760_0;0.3371;0.4371;0.1;bus_stop_4
req-24-255190812_0;0.3375;0.4375;0.1;bus_stop_4
req-24-255190788_0;0.3375;0.4375;0.1;bus_stop_4
req-24-1480037098_0;0.3397;0.4397;0.1;bus_stop_5
req-24-255190828_0;0.3397;0.4397;0.1;bus_stop_5
req-24-2569108697_0;0.3397;0.4397;0.1;bus_stop_5
req-18-1432574918_1;0.34;0.44;0.1;bus_stop_5
req-25-255191459_0;0.3402;0.4402;0.1;bus_stop_6
req-24-1480037112_0;0.3402;0.4402;0.1;bus_stop_6
req-24-255190815_0;0.3402;0.4402;0.1;bus_stop_6
req-24-255190832_0;0.3402;0.4402;0.1;bus_stop_6
req-25-1451034425_0;0.3412;0.4412;0.1;bus_stop_7
req-25-255191448_0;0.3412;0.4412;0.1;bus_stop_7
req-19-2923178604_1;0.3418;0.4418;0.1;bus_stop_7
req-5-1432574984_1;0.3435;0.4435;0.1;bus_stop_7
req-5-1432574912_1;0.3438;0.4438;0.1;bus_stop_8
req-5-1432574863_1;0.3438;0.4438;0.1;bus_stop_8
req-25-10915667312_0;0.3449;0.4449;0.1;bus_stop_8
req-25-1451034444_0;0.3449;0.4449;0.1;bus_stop_8
req-25-1480037117_0;0.3455;0.4455;0.1;bus_stop_9
req-25-12146794_0;0.3469;0.4469;0.1;bus_stop_9
req-25-12146792_0;0.3469;0.4469;0.1;bus_stop_9
req-25-1480037106_0;0.3469;0.4469;0.1;bus_stop_9
req-1-255596055_1;0.4016;0.5016;0.1;bus_stop_0
req-1-2570830459_1;0.4016;0.5016;0.1;bus_stop_0
req-2-2570830459_1;0.4019;0.5019;0.1;bus_stop_1
req-4-11378562273_1;0.4024;0.5024;0.1;bus_stop_0
req-9-1371510515_1;0.4027;0.5027;0.1;bus_stop_0
req-12-10915667312_1;0.4036;0.5036;0.1;bus_stop_1
req-11-12146782_1;0.4036;0.5036;0.1;bus_stop_1
req-12-255191448_1;0.4048;0.5048;0.1;bus_stop_1
req-3-1432574984_1;0.4064;0.5064;0.1;bus_stop_10
req-6-10915667367_1;0.4073;0.5073;0.1;bus_stop_10
req-12-255200263_1;0.4074;0.5074;0.1;bus_stop_10
req-12-255190984_1;0.4074;0.5074;0.1;bus_stop_10
req-11-10915667367_1;0.4103;0.5103;0.1;bus_stop_11
req-12-1451034444_1;0.4108;0.5108;0.1;bus_stop_11
req-13-1451034453_1;0.4124;0.5124;0.1;bus_stop_11
req-13-581942058_1;0.4124;0.5124;0.1;bus_stop_11
req-14-255596055_1;0.4129;0.5129;0.1;bus_stop_12
req-13-255191472_1;0.4129;0.5129;0.1;bus_stop_12
req-13-255191437_1;0.4129;0.5129;0.1;bus_stop_12
req-11-255595834_1;0.4167;0.5167;0.1;bus_stop_12
req-0-2569086820_1;0.4215;0.5215;0.1;bus_stop_13
req-14-2569086780_1;0.4218;0.5218;0.1;bus_stop_13
req-16-2569108697_1;0.4223;0.5223;0.1;bus_stop_14
req-16-255190812_1;0.4223;0.5223;0.1;bus_stop_13
req-6-12146782_1;0.4225;0.5225;0.1;bus_stop_13
req-17-581942559_1;0.4234;0.5234;0.1;bus_stop_14
req-17-9143229517_1;0.4258;0.5258;0.1;bus_stop_15
req-17-1469068918_1;0.4258;0.5258;0.1;bus_stop_14
req-17-2569086698_1;0.4258;0.5258;0.1;bus_stop_14
req-18-1371510260_1;0.4259;0.5259;0.1;bus_stop_15
req-18-1371510304_1;0.4262;0.5262;0.1;bus_stop_15
req-19-255595921_1;0.4265;0.5265;0.1;bus_stop_15
req-19-255596017_1;0.4267;0.5267;0.1;bus_stop_16
req-14-255595787_1;0.4267;0.5267;0.1;bus_stop_16
req-21-1480037096_1;0.427;0.527;0.1;bus_stop_16
req-26-255190984_0;0.4337;0.5337;0.1;bus_stop_3
req-26-255200263_0;0.4337;0.5337;0.1;bus_stop_2
req-26-2569087094_0;0.4337;0.5337;0.1;bus_stop_2
req-26-255191060_0;0.4337;0.5337;0.1;bus_stop_16
req-26-4414627711_0;0.4352;0.5352;0.1;bus_stop_2
req-26-2569086820_0;0.4352;0.5352;0.1;bus_stop_2
req-26-1451034444_0;0.4352;0.5352;0.1;bus_stop_3
req-26-581942559_0;0.4354;0.5354;0.1;bus_stop_3
req-27-11383382298_0;0.436;0.536;0.1;bus_stop_3
req-27-11383367766_0;0.4373;0.5373;0.1;bus_stop_4
req-27-255596028_0;0.4373;0.5373;0.1;bus_stop_4
req-28-236868307_0;0.4376;0.5376;0.1;bus_stop_4
req-27-255191075_0;0.4376;0.5376;0.1;bus_stop_4
req-28-581942879_0;0.4401;0.5401;0.1;bus_stop_5
req-28-255200417_0;0.4401;0.5401;0.1;bus_stop_5
req-28-1469068934_0;0.4401;0.5401;0.1;bus_stop_5
req-28-236864890_0;0.4401;0.5401;0.1;bus_stop_5
req-29-1432574941_0;0.4404;0.5404;0.1;bus_stop_6
req-29-1432574918_0;0.4404;0.5404;0.1;bus_stop_6
req-29-10915667490_0;0.4404;0.5404;0.1;bus_stop_6
req-24-1480037098_1;0.4404;0.5404;0.1;bus_stop_6
req-0-4414627711_1;0.4413;0.5413;0.1;bus_stop_7
req-1-11383367761_1;0.4414;0.5414;0.1;bus_stop_7
req-29-1371509882_0;0.4419;0.5419;0.1;bus_stop_7
req-7-1432574984_1;0.4436;0.5436;0.1;bus_stop_7
req-29-1371510260_0;0.444;0.544;0.1;bus_stop_8
req-8-1432574901_1;0.444;0.544;0.1;bus_stop_8
req-30-11383382298_0;0.4451;0.5451;0.1;bus_stop_8
req-29-1371510304_0;0.4451;0.5451;0.1;bus_stop_8
req-30-255596094_0;0.4457;0.5457;0.1;bus_stop_9
req-19-10915667367_1;0.447;0.547;0.1;bus_stop_9
req-30-255596028_0;0.4472;0.5472;0.1;bus_stop_9
req-30-255596112_0;0.4472;0.5472;0.1;bus_stop_9
req-4-255191075_1;0.5018;0.6018;0.1;bus_stop_0
req-2-11383382298_1;0.5018;0.6018;0.1;bus_stop_0
req-6-255596808_1;0.5022;0.6022;0.1;bus_stop_1
req-9-9983238121_1;0.5026;0.6026;0.1;bus_stop_0
req-9-1371510111_1;0.5028;0.6028;0.1;bus_stop_0
req-15-1451034453_1;0.5038;0.6038;0.1;bus_stop_1
req-15-581942058_1;0.5038;0.6038;0.1;bus_stop_1
req-15-255191437_1;0.5049;0.6049;0.1;bus_stop_1
req-14-10915667347_1;0.5066;0.6066;0.1;bus_stop_10
req-15-255191472_1;0.5074;0.6074;0.1;bus_stop_10
req-14-11378562276_1;0.5074;0.6074;0.1;bus_stop_10
req-11-10915667347_1;0.5074;0.6074;0.1;bus_stop_10
req-15-1480037114_1;0.5105;0.6105;0.1;bus_stop_11
req-16-255190788_1;0.5112;0.6112;0.1;bus_stop_11
req-17-255200029_1;0.5125;0.6125;0.1;bus_stop_11
req-17-255191048_1;0.5125;0.6125;0.1;bus_stop_11
req-20-9983238121_1;0.5134;0.6134;0.1;bus_stop_12
req-18-1371510111_1;0.5134;0.6134;0.1;bus_stop_12
req-18-9983238121_1;0.5134;0.6134;0.1;bus_stop_12
req-30-255596018_0;0.5182;0.6182;0.1;bus_stop_12
req-30-11383367766_0;0.5217;0.6217;0.1;bus_stop_13
req-1-255596028_2;0.5219;0.6219;0.1;bus_stop_13
req-14-10915667342_1;0.5224;0.6224;0.1;bus_stop_13
req-30-255191075_0;0.5224;0.6224;0.1;bus_stop_14
req-16-10915667297_1;0.5227;0.6227;0.1;bus_stop_13
req-30-2569086736_0;0.524;0.624;0.1;bus_stop_14
req-31-255190812_0;0.526;0.626;0.1;bus_stop_15
req-31-255190788_0;0.526;0.626;0.1;bus_stop_15
req-31-255190832_0;0.526;0.626;0.1;bus_stop_14
req-31-1480037112_0;0.526;0.626;0.1;bus_stop_14
req-31-2569108697_0;0.5263;0.6263;0.1;bus_stop_15
req-32-1432574984_0;0.5267;0.6267;0.1;bus_stop_16
req-32-1432574929_0;0.5267;0.6267;0.1;bus_stop_16
req-32-1432574869_0;0.5267;0.6267;0.1;bus_stop_15
req-25-12146794_1;0.5271;0.6271;0.1;bus_stop_16
req-32-8255515226_0;0.5339;0.6339;0.1;bus_stop_3
req-33-2569086820_0;0.5339;0.6339;0.1;bus_stop_2
req-33-255190984_0;0.5339;0.6339;0.1;bus_stop_2
req-32-1432574912_0;0.5339;0.6339;0.1;bus_stop_16
req-33-236868307_0;0.5358;0.6358;0.1;bus_stop_3
req-33-9143229517_0;0.5358;0.6358;0.1;bus_stop_3
req-33-2569086698_0;0.5358;0.6358;0.1;bus_stop_2
req-33-1469068918_0;0.5358;0.6358;0.1;bus_stop_2
